Date,Forecasted Inflation Rate (%)
2025-03-01,3.878418997230672
2025-04-01,4.39747130964581
2025-05-01,4.55554182957505
2025-06-01,3.935105288093137
2025-07-01,4.089550542710798
2025-08-01,4.2537069844449675
2025-09-01,3.666917613248024
2025-10-01,3.146741395472519
2025-11-01,3.6807884471251313
2025-12-01,3.929474079218323
2026-01-01,4.774921693179748
2026-02-01,5.356774273221519
2026-03-01,5.247658445576073
2026-04-01,5.090293289752927
2026-05-01,5.053093535402135
2026-06-01,5.188158320276073
2026-07-01,5.151762373948038
2026-08-01,5.1132184042639555
2026-09-01,5.240840372720497
2026-10-01,5.353723365741205
2026-11-01,5.2333344945857405
2026-12-01,5.176089628591691
2027-01-01,4.986797394112388
2027-02-01,4.855832819116841
2027-03-01,4.877762712920581
2027-04-01,4.910369762315029
2027-05-01,4.916388089780247
2027-06-01,4.8842894867978375
2027-07-01,4.890131574351748
2027-08-01,4.896449775288046
2027-09-01,4.866000509505275
2027-10-01,4.838813412547946
2027-11-01,4.863244229591915
2027-12-01,4.8737037009184645
2028-01-01,4.913382690713323
2028-02-01,4.940156068453835
2028-03-01,4.933098614816709
2028-04-01,4.923679387728211
2028-05-01,4.920144373565068
2028-06-01,4.925044470067908
2028-07-01,4.92155006844202
2028-08-01,4.917951122217329
2028-09-01,4.922488683921912
2028-10-01,4.926305217541142
2028-11-01,4.918700831704133
2028-12-01,4.914188753698556
2029-01-01,4.903211948370927
2029-02-01,4.895091630650322
2029-03-01,4.894458016706368
2029-04-01,4.894347807657054
2029-05-01,4.892936377080353
2029-06-01,4.889659276178501
2029-07-01,4.888240467141128
2029-08-01,4.886845594738745
2029-09-01,4.88365112428442
2029-10-01,4.880617001922436
2029-11-01,4.880110839971331
2029-12-01,4.878921231703887
2030-01-01,4.87916290455421
2030-02-01,4.878773311491208
