Date,Expected Price
2025-03-01,300.9696047493077
2025-04-01,302.07252575094145
2025-05-01,303.2192791064613
2025-06-01,304.213612263681
2025-07-01,305.25035971629177
2025-08-01,306.33239770556634
2025-09-01,307.2684774261122
2025-10-01,308.07422279064605
2025-11-01,309.0191861574001
2025-12-01,310.03108855905566
2026-01-01,311.2647337009896
2026-02-01,312.65421279903177
2026-03-01,314.0214648993149
2026-04-01,315.3535160289944
2026-05-01,316.6814417066714
2026-06-01,318.05060292056095
2026-07-01,319.4160371948423
2026-08-01,320.77707382817715
2026-09-01,322.1780250274786
2026-10-01,323.61540171124363
2026-11-01,325.0267247485392
2026-12-01,326.4286976310276
2027-01-01,327.78522577995255
2027-02-01,329.1116176607558
2027-03-01,330.44939130826805
2027-04-01,331.8015818908143
2027-05-01,333.16096967862956
2027-06-01,334.5170151966401
2027-07-01,335.88020871178264
2027-08-01,337.25072585550805
2027-09-01,338.6182776920446
2027-10-01,339.98370324523637
2027-11-01,341.3615563977054
2027-12-01,342.747968965011
2028-01-01,344.15134558000256
2028-02-01,345.56814671194724
2028-03-01,346.9887481668385
2028-04-01,348.4124659561074
2028-05-01,349.8409989844856
2028-06-01,351.2768177156953
2028-07-01,352.717506420921
2028-08-01,354.16304596802803
2028-09-01,355.6158489563955
2028-10-01,357.075742466524
2028-11-01,358.5393664260669
2028-12-01,360.0076415279412
2029-01-01,361.4786363358117
2029-02-01,362.953195541967
2029-03-01,364.43357818997487
2029-04-01,365.9199654270172
2029-05-01,367.41198468529876
2029-06-01,368.9090842012117
2029-07-01,370.4118477962854
2029-08-01,371.920302385154
2029-09-01,373.4339098875602
2029-10-01,374.9527331289699
2029-11-01,376.4775755434862
2029-12-01,378.00824590730247
2030-01-01,379.5452157498412
2030-02-01,381.08831164076156
